downstream_address,flow_txs,ada
addr1qxd39k4peszxlf0x59e88hngpe5u9882y2lyhdzazsq4kfvmztd2rnqyd7j7dgtjw00xsrnfc2ww5g47fw6969qptvjshwxpl3,7,129430001.000000
addr1qxkty8sgt4n7h0ajus4gadd5pz9uwrnmh4eh25h99fsxm6c4x7gcpv39wwurj7n72akw4kd0dgmv72gz4j92fvhn29sswcz8tz,1,5409580.492784
addr1z8p79rpkcdz8x9d6tft0x0dx5mwuzac2sa4gm8cvkw5hcnzjsw98nm4qq38jw9epe587twavuhuhj5d8r92rjvmyjlzs6990e6,16,5200466.367090
addr1z8p79rpkcdz8x9d6tft0x0dx5mwuzac2sa4gm8cvkw5hcnqamepaykp3m564hnd4zp75wxxds2j6d3ywvc8prhf2kcxq59xajv,13,3128945.501170
addr1z8p79rpkcdz8x9d6tft0x0dx5mwuzac2sa4gm8cvkw5hcnyt6rq00zyuqzeuw759vgqtdky0gyxnqx27n8q4k6h79yhsr6faz3,21,2970225.160360
addr1q82k0gnpsd829286ghdp9xanpewav5yw3gfphrcalvpmv3c4x7gcpv39wwurj7n72akw4kd0dgmv72gz4j92fvhn29ssctrwfx,1,260883.574627
addr1q8nw4dkulh8w5gdst5q87pdq9kkdpvvxpqta37qx6maryrkelj2ugdyg7kyc7xuleagy883fdtxqywym02ty3luptv9qhl98qc,20,83334.464596
addr1z8p79rpkcdz8x9d6tft0x0dx5mwuzac2sa4gm8cvkw5hcnxelj2ugdyg7kyc7xuleagy883fdtxqywym02ty3luptv9qm0xsee,3,82481.504481
addr1z9ryamhgnuz6lau86sqytte2gz5rlktv2yce05e0h3207qjjsw98nm4qq38jw9epe587twavuhuhj5d8r92rjvmyjlzs2reg0x,8,60340.115140
addr1zx0pxr4sxglnrh6sh7ahx8e47knetf3saae8kjazwfrqk42jsw98nm4qq38jw9epe587twavuhuhj5d8r92rjvmyjlzsqnsnng,4,56354.320070
addr1q908k79885wcdu9kf3aulgp5fyu09m49369fsfycz30ghnc4x7gcpv39wwurj7n72akw4kd0dgmv72gz4j92fvhn29ssgrjcpz,1,43618.368629
addr1z9ryamhgnuz6lau86sqytte2gz5rlktv2yce05e0h3207q5t6rq00zyuqzeuw759vgqtdky0gyxnqx27n8q4k6h79yhsnu465d,8,35496.640110
addr1z9ryamhgnuz6lau86sqytte2gz5rlktv2yce05e0h3207qsamepaykp3m564hnd4zp75wxxds2j6d3ywvc8prhf2kcxqyr66ys,4,30973.743130
addr1z8ax5k9mutg07p2ngscu3chsauktmstq92z9de938j8nqacamepaykp3m564hnd4zp75wxxds2j6d3ywvc8prhf2kcxqkdamcx,5,24474.196360
addr1zx0pxr4sxglnrh6sh7ahx8e47knetf3saae8kjazwfrqk4gamepaykp3m564hnd4zp75wxxds2j6d3ywvc8prhf2kcxqwnnpc7,2,22009.200000
